DBN,District,School Name,Is Org Split-Sited,Building ID(s),Transfer School,Total Enrollment,Grades 3K-PK-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiple Race Categories Not Represented,% White,% SWD,% ELL,% Poverty,2018-19 ELA # Tested,2018-19 ELA # Proficient (L3&4),2018-19 ELA % Proficient (L3&4),2018-19 Math # Tested,2018-19 Math # Proficient (L3&4),2018-19 Math % Proficient (L3&4),2018-19 Total 4-year August Grad Cohort,2018-19 % 4-year August Graduates,2018-19 Total 6-year Grad Cohort,2018-19 % 6-year Graduates
09X543,9,High School for Violin and Dance,false,X400,false,225,0,0,225,0.004,0.329,0.649,0.009,0.009,0.307,0.187,0.884,,,,,,,60,63.3%,75,70.7%
09X555,9,Mount Eden Children's Academy,false,X240,false,429,429,0,0,0.002,0.184,0.793,0.016,0.005,0.168,0.177,0.914,188,74,39.4%,189,98,51.9%,,,,
09X564,9,Claremont International HS,false,X410,false,363,0,0,363,0.055,0.165,0.744,0.008,0.028,0.074,0.865,1,,,,,,,83,81.9%,94,69.1%
09X568,9,Young Women's Leadership School of the Bronx,false,X117,false,537,0,247,290,0.032,0.302,0.635,0.019,0.013,0.181,0.048,0.858,222,123,55.4%,222,90,40.5%,64,95.3%,,
09X593,9,South Bronx International Middle School,false,X145,false,96,0,96,0,0,0.115,0.865,0,0.021,0.125,0.927,0.896,30,0,0.0%,50,2,4.0%,,,,
09X594,9,M.S. 594,false,X145,false,252,0,252,0,0.008,0.254,0.718,0.016,0.004,0.274,0.31,0.897,185,20,10.8%,200,10,5.0%,,,,
10X015,10,P.S. X015 Institute for Environmental Learning,false,X015,false,485,293,192,0,0.014,0.111,0.858,0.016,0,0.233,0.175,0.81,309,160,51.8%,307,171,55.7%,,,,
10X020,10,"PS/MS 20 P.O.George J. Werdann, III",false,X020,false,907,545,362,0,0.072,0.104,0.756,0.021,0.047,0.267,0.252,0.927,629,189,30.0%,641,172,26.8%,,,,
10X077,10,Bedford Park Elementary School,false,X177,false,507,507,0,0,0.136,0.073,0.679,0.014,0.099,0.179,0.245,0.842,130,54,41.5%,132,38,28.8%,,,,
10X080,10,J.H.S. 080 The Mosholu Parkway,false,X080,false,641,0,641,0,0.084,0.159,0.704,0.012,0.041,0.271,0.268,0.883,603,180,29.9%,485,115,23.7%,,,,
10X095,10,P.S. 095 Sheila Mencher,false,X095,false,1143,678,465,0,0.061,0.164,0.715,0.016,0.045,0.211,0.147,0.843,831,303,36.5%,788,238,30.2%,,,,
10X213,10,Bronx Engineering and Technology Academy,false,X475,false,395,0,0,395,0.051,0.284,0.618,0.018,0.03,0.248,0.195,0.939,,,,,,,97,73.2%,81,79.0%
10X225,10,Theatre Arts Production Company School,false,X137,false,523,0,193,330,0.023,0.241,0.721,0.002,0.013,0.249,0.09,0.828,170,52,30.6%,112,28,25.0%,82,84.1%,68,82.4%
10X237,10,"The Marie Curie School for Medicine, Nursing, and Health Professions",false,X143,false,383,0,0,383,0.026,0.308,0.619,0.018,0.029,0.222,0.123,0.812,,,,,,,119,70.6%,122,74.6%
10X243,10,West Bronx Academy for the Future,false,X435,false,614,0,286,328,0.02,0.168,0.793,0.007,0.013,0.265,0.14,0.938,265,86,32.5%,246,21,8.5%,70,80.0%,64,85.9%
10X244,10,The New School for Leadership and Journalism,false,X143,false,718,0,718,0,0.024,0.086,0.87,0.007,0.013,0.223,0.214,0.99,680,285,41.9%,639,159,24.9%,,,,
10X264,10,Bronx Academy for Software Engineering (BASE),false,X660,false,396,0,0,396,0.053,0.275,0.629,0.015,0.028,0.275,0.093,0.778,,,,,,,100,70.0%,93,84.9%
10X268,10,Kingsbridge International High School,false,X430,false,434,0,0,434,0.025,0.023,0.929,0.009,0.014,0.048,0.866,0.97,,,,,,,143,62.9%,100,62.0%
10X280,10,P.S./M.S. 280 Mosholu Parkway,false,X080,false,802,508,294,0,0.091,0.08,0.777,0.006,0.046,0.298,0.178,0.939,548,202,36.9%,559,245,43.8%,,,,
10X284,10,Bronx School of Law and Finance,false,X475,false,392,0,0,392,0.01,0.189,0.763,0.013,0.026,0.207,0.253,0.875,,,,,,,81,79.0%,101,79.2%
10X291,10,P.S. 291,false,X015,false,576,576,0,0,0.003,0.076,0.917,0,0.003,0.193,0.278,0.995,288,109,37.8%,300,100,33.3%,,,,
10X306,10,P.S. 306,false,X306,false,605,605,0,0,0.013,0.253,0.724,0.005,0.005,0.192,0.164,0.906,313,103,32.9%,324,90,27.8%,,,,
10X331,10,The Bronx School of Young Leaders,false,X306,false,441,0,441,0,0.02,0.24,0.719,0.007,0.014,0.27,0.184,0.882,384,121,31.5%,393,104,26.5%,,,,
10X342,10,International School for Liberal Arts,false,X430,false,508,0,138,370,0,0,1,0,0,0.094,0.699,0.97,134,21,15.7%,150,22,14.7%,103,65.0%,92,84.8%
10X344,10,Ampark Neighborhood,false,X095,false,388,388,0,0,0.036,0.139,0.626,0.049,0.149,0.258,0.028,0.503,171,91,53.2%,170,90,52.9%,,,,
10X351,10,Bronx Collaborative High School,false,X440,false,561,0,1,560,0.032,0.28,0.633,0.018,0.037,0.216,0.171,0.807,,,,,,,120,70.8%,102,62.7%
10X353,10,World View High School,false,X440,false,583,0,0,583,0.019,0.225,0.719,0.029,0.009,0.197,0.233,0.782,,,,,,,109,92.7%,70,85.7%
10X368,10,In-Tech Academy (M.S. / High School 368),false,X368,false,1000,0,432,568,0.034,0.078,0.844,0.014,0.03,0.212,0.171,0.874,455,168,36.9%,313,95,30.4%,108,90.7%,116,94.0%
10X374,10,Knowledge and Power Preparatory Academy International High School (Kappa),false,X435,false,421,0,0,421,0.021,0.266,0.675,0.01,0.029,0.238,0.102,0.869,,,,,,,124,87.9%,100,92.0%
10X382,10,"Elementary School for Math, Science, and Technology",false,X079,false,278,278,0,0,0.007,0.241,0.745,0.007,0,0.191,0.324,0.95,146,33,22.6%,154,35,22.7%,,,,
10X386,10,School for Environmental Citizenship,false,X079,false,578,578,0,0,0.007,0.114,0.869,0,0.01,0.159,0.296,0.967,261,61,23.4%,270,49,18.1%,,,,
10X390,10,M.S. 390,false,X026,false,550,0,550,0,0.011,0.149,0.825,0.004,0.011,0.225,0.273,0.953,473,123,26.0%,501,134,26.7%,,,,
10X391,10,The Angelo Patri Middle School,false,X137,false,467,0,467,0,0.017,0.223,0.739,0.011,0.011,0.27,0.31,0.946,422,58,13.7%,458,59,12.9%,,,,
10X396,10,P.S. 396,false,X026,false,294,294,0,0,0.014,0.156,0.823,0.003,0.003,0.371,0.228,0.922,119,30,25.2%,122,30,24.6%,,,,
10X397,10,English Language Learners and International Support Preparatory Academy (ELLIS),false,X475,true,316,0,0,316,0.041,0.212,0.671,0.038,0.038,0.009,0.93,0.94,,,,,,,119,20.2%,107,30.8%
10X433,10,High School for Teaching and the Professions,false,X430,false,414,0,0,414,0.027,0.133,0.797,0.007,0.036,0.229,0.239,0.894,,,,,,,102,81.4%,112,87.5%
10X434,10,Belmont Preparatory High School,false,X435,false,389,0,0,389,0.057,0.226,0.679,0.021,0.018,0.221,0.093,0.853,,,,,,,87,82.8%,98,98.0%
10X437,10,Fordham High School for the Arts,false,X435,false,369,0,0,369,0.014,0.341,0.612,0.014,0.019,0.23,0.024,0.851,,,,,,,62,95.2%,100,96.0%
10X438,10,Fordham Leadership Academy,false,X435,false,373,0,0,373,0.024,0.257,0.702,0.003,0.013,0.244,0.155,0.887,,,,,,,64,89.1%,65,76.9%
10X439,10,Bronx High School for Law and Community Service,false,X435,false,406,0,0,406,0.012,0.281,0.68,0.015,0.012,0.234,0.121,0.894,,,,,,,83,95.2%,101,87.1%
10X440,10,DeWitt Clinton High School,false,X440,false,975,0,0,975,0.107,0.309,0.525,0.029,0.031,0.205,0.11,0.858,,,,,,,307,77.9%,342,62.9%
10X442,10,"Celia Cruz Bronx High School of Music, The",false,X430,false,441,0,0,441,0.014,0.281,0.646,0.045,0.014,0.211,0.043,0.857,,,,,,,96,96.9%,84,95.2%
10X447,10,Creston Academy,false,X079,false,455,0,455,0,0.007,0.145,0.835,0.009,0.004,0.207,0.259,0.967,432,148,34.3%,447,167,37.4%,,,,
10X477,10,Marble Hill High School for International Studies,false,X475,false,442,0,0,442,0.14,0.131,0.654,0.027,0.048,0.156,0.281,0.88,,,,,,,112,94.6%,100,97.0%
10X524,10,Crotona International High School,false,X660,false,338,0,0,338,0.053,0.047,0.899,0,0,0.047,0.964,0.846,,,,,,,85,74.1%,105,67.6%
10X546,10,Bronx Theatre High School,false,X475,false,328,0,0,328,0.009,0.317,0.619,0.024,0.03,0.235,0.037,0.845,,,,,,,79,83.5%,80,67.5%
10X549,10,Discovery High School,false,X430,false,449,0,0,449,0.047,0.183,0.748,0.007,0.016,0.249,0.194,0.9,,,,,,,116,85.3%,105,84.8%
10X565,10,High School for Energy and Technology,false,X660,false,382,0,0,382,0.052,0.209,0.707,0.01,0.021,0.272,0.123,0.856,,,,,,,104,75.0%,88,73.9%
11X127,11,J.H.S. 127 The Castle Hill,false,X127,false,814,0,814,0,0.317,0.209,0.424,0.023,0.027,0.201,0.145,0.789,792,329,41.5%,697,200,28.7%,,,,
11X144,11,J.H.S. 144 Michelangelo,false,X144,false,447,0,447,0,0.06,0.57,0.327,0.007,0.036,0.264,0.098,0.783,440,148,33.6%,442,121,27.4%,,,,
11X153,11,P.S. 153 Helen Keller,false,X153,false,610,610,0,0,0.144,0.567,0.241,0.021,0.026,0.128,0.016,0.659,326,204,62.6%,332,175,52.7%,,,,
11X160,11,P.S. 160 Walt Disney,false,X160,false,389,389,0,0,0.013,0.622,0.321,0.023,0.021,0.249,0.023,0.746,163,81,49.7%,164,63,38.4%,,,,
11X178,11,P.S. 178 - Dr. Selman Waksman,false,X178,false,358,358,0,0,0.017,0.606,0.327,0.014,0.036,0.209,0.034,0.785,215,72,33.5%,217,47,21.7%,,,,
11X181,11,I.S. 181 Pablo Casals,false,X181,false,881,0,881,0,0.062,0.622,0.26,0.03,0.026,0.234,0.028,0.815,837,395,47.2%,700,241,34.4%,s,s,,
11X189,11,Cornerstone Academy for Social Action,false,X189,false,368,368,0,0,0.008,0.511,0.44,0.014,0.027,0.182,0.041,0.913,172,44,25.6%,172,51,29.7%,,,,
11X194,11,P.S./M.S. 194,false,X194,false,1269,752,517,0,0.374,0.065,0.494,0.027,0.041,0.152,0.171,0.817,894,391,43.7%,879,382,43.5%,,,,
11X249,11,Bronx Health Sciences High School,false,X455,false,287,0,0,287,0.084,0.544,0.31,0.028,0.035,0.108,0.038,0.794,,,,,,,47,100.0%,53,100.0%
11X253,11,Bronx High School for Writing and Communication Arts,false,X425,false,301,0,0,301,0.047,0.435,0.465,0.017,0.037,0.229,0.153,0.787,,,,,,,94,71.3%,95,76.8%
11X265,11,Bronx Lab School,false,X425,false,343,0,0,343,0.02,0.382,0.531,0.02,0.047,0.265,0.163,0.869,,,,,,,101,76.2%,92,64.1%
11X270,11,Academy for Scholarship and Entrepreneurship: A College Board School,false,X362,false,363,0,0,363,0.003,0.642,0.309,0.011,0.036,0.196,0.058,0.777,,,,,,,105,70.5%,93,73.1%
11X275,11,High School of Computers and Technology,false,X425,false,543,0,1,542,0.083,0.365,0.51,0.022,0.02,0.249,0.09,0.779,,,,,,,108,83.3%,110,74.5%
11X287,11,North Bronx School of Empowerment,false,X113,false,513,0,513,0,0.025,0.532,0.384,0.027,0.031,0.253,0.158,0.873,512,99,19.3%,551,54,9.8%,,,,
11X288,11,Collegiate Institute for Math and Science,false,X415,false,569,0,0,569,0.121,0.329,0.387,0.019,0.144,0.163,0.032,0.742,,,,,,,156,89.7%,159,91.2%
11X290,11,Bronx Academy of Health Careers,false,X425,false,359,0,0,359,0.022,0.426,0.518,0.019,0.014,0.206,0.106,0.83,,,,,,,84,84.5%,101,84.2%
11X299,11,Astor Collegiate Academy,false,X415,false,483,0,0,483,0.077,0.271,0.48,0.037,0.135,0.207,0.075,0.81,,,,,,,109,71.6%,124,86.3%
11X326,11,Bronx Green Middle School,false,X135,false,415,0,415,0,0.039,0.2,0.583,0.017,0.161,0.195,0.19,0.911,383,128,33.4%,387,83,21.4%,,,,
11X355,11,Bronx Alliance Middle School,false,X142,false,313,0,313,0,0.019,0.668,0.304,0,0.01,0.262,0.038,0.85,282,43,15.2%,287,26,9.1%,,,,
11X370,11,Leaders of Tomorrow,false,X113,false,463,0,463,0,0.019,0.572,0.38,0.011,0.017,0.296,0.138,0.836,380,85,22.4%,394,34,8.6%,,,,
11X418,11,Bronx High School for the Visual Arts,false,X839,false,440,0,0,440,0.025,0.257,0.62,0.009,0.089,0.291,0.05,0.795,,,,,,,116,76.7%,109,78.0%
11X455,11,Harry S Truman High School,false,X455,false,2172,0,0,2172,0.034,0.488,0.417,0.025,0.037,0.239,0.073,0.748,,,,,,,513,73.7%,508,78.1%
11X462,11,Cornerstone Academy for Social Action Middle School (CASA),false,X189,false,252,0,252,0,0.004,0.651,0.321,0.016,0.008,0.198,0.028,0.794,237,84,35.4%,228,55,24.1%,,,,
11X468,11,Pelham Academy of Academics and Community Engagement,false,X135,false,351,0,351,0,0.1,0.162,0.615,0.009,0.114,0.231,0.157,0.883,319,134,42.0%,323,129,39.9%,,,,
11X481,11,The STEAM Bridge School,false,X311,false,267,267,0,0,0.116,0.12,0.577,0.026,0.161,0.165,0.262,0.884,34,33,97.1%,34,25,73.5%,,,,
11X483,11,The Matilda Avenue School,false,X314,false,213,213,0,0,0.042,0.493,0.371,0.052,0.042,0.136,0.052,0.878,33,18,54.5%,35,17,48.6%,,,,
11X498,11,P.S./M.S. 11X498 - Van Nest Academy,false,X498,false,656,376,280,0,0.082,0.093,0.614,0.015,0.195,0.201,0.081,0.768,444,212,47.7%,441,254,57.6%,,,,
11X508,11,Bronxdale High School,false,X415,false,448,0,0,448,0.054,0.279,0.569,0.013,0.085,0.239,0.071,0.895,,,,,,,111,81.1%,86,86.0%
11X509,11,High School of Language and Innovation,false,X415,false,366,0,0,366,0.178,0.077,0.541,0.022,0.183,0.044,0.803,0.94,,,,,,,96,83.3%,76,85.5%
11X513,11,New World High School,false,X362,false,365,0,0,365,0.093,0.126,0.668,0.005,0.107,0.068,0.668,0.945,,,,,,,79,83.5%,81,92.6%
11X514,11,The Bronxwood Preparatory Academy,false,X362,false,354,0,0,354,0.04,0.585,0.302,0.045,0.028,0.249,0.059,0.76,,,,,,,96,63.5%,103,74.8%
11X529,11,One World Middle School at Edenwald,false,X142,false,329,0,329,0,0.03,0.59,0.34,0.036,0.003,0.252,0.046,0.869,319,125,39.2%,316,105,33.2%,,,,
11X532,11,Baychester Middle School,false,X142,false,288,0,288,0,0.017,0.622,0.306,0.038,0.017,0.215,0.076,0.858,275,83,30.2%,276,35,12.7%,,,,
11X534,11,District 11 Pre-K Center,true,"X311, X314",false,63,63,0,0,0.111,0.333,0.413,0.016,0.127,0.063,0,0.746,,,,,,,,,,
11X542,11,Pelham Preparatory Academy,false,X415,false,495,0,0,495,0.083,0.267,0.531,0.024,0.095,0.248,0.063,0.754,,,,,,,140,86.4%,114,91.2%
11X544,11,High School for Contemporary Arts,false,X425,false,362,0,0,362,0.017,0.401,0.53,0.019,0.033,0.246,0.174,0.851,,,,,,,147,81.6%,132,82.6%
11X545,11,Bronx Aerospace High School,false,X425,false,263,0,0,263,0.065,0.357,0.532,0.015,0.03,0.251,0.19,0.84,,,,,,,86,66.3%,87,73.6%
11X556,11,Bronx Park Middle School,false,X135,false,408,0,408,0,0.066,0.186,0.61,0.012,0.125,0.184,0.216,0.897,356,141,39.6%,370,97,26.2%,,,,
11X566,11,Pelham Gardens Middle School,false,X144,false,435,0,435,0,0.048,0.572,0.322,0.028,0.03,0.262,0.067,0.805,453,160,35.3%,464,100,21.6%,,,,
11X567,11,Linden Tree Elementary School,false,X127,false,388,388,0,0,0.206,0.144,0.603,0.013,0.034,0.245,0.278,0.83,165,48,29.1%,170,44,25.9%,,,,
12X006,12,P.S. 006 West Farms,false,X006,false,525,525,0,0,0.011,0.213,0.768,0,0.008,0.232,0.118,0.971,233,59,25.3%,234,48,20.5%,,,,
12X044,12,P.S. 044 David C. Farragut,false,X044,false,264,264,0,0,0.004,0.311,0.667,0.004,0.015,0.163,0.208,0.981,116,37,31.9%,121,48,39.7%,,,,
12X057,12,P.S. 057 Crescent,false,X057,false,544,544,0,0,0.009,0.292,0.642,0.033,0.024,0.239,0.184,0.91,241,50,20.7%,250,53,21.2%,,,,
12X061,12,P.S. 061 Francisco Oller,false,X061,false,264,264,0,0,0.008,0.163,0.807,0.019,0.004,0.205,0.129,0.958,121,41,33.9%,124,42,33.9%,,,,
12X066,12,P.S. 066 School of Higher Expectations,false,X066,false,539,539,0,0,0.017,0.317,0.633,0.009,0.024,0.215,0.113,0.918,249,81,32.5%,248,92,37.1%,,,,
12X098,12,J.H.S. 098 Herman Ridder,false,X098,false,251,0,251,0,0.02,0.255,0.697,0.016,0.012,0.231,0.39,0.924,221,38,17.2%,253,34,13.4%,,,,
12X129,12,M.S. 129 Academy for Independent Learning and Leadership,false,X129,false,514,0,514,0,0.033,0.267,0.677,0.006,0.018,0.263,0.125,0.963,483,164,34.0%,484,157,32.4%,,,,
12X190,12,E.S.M.T- I.S. 190,false,X061,false,272,0,272,0,0.018,0.243,0.713,0.018,0.007,0.191,0.125,0.941,258,66,25.6%,258,39,15.1%,,,,
12X195,12,P.S. 195,false,X077,false,872,872,0,0,0.021,0.138,0.821,0.017,0.003,0.225,0.322,0.901,410,101,24.6%,421,102,24.2%,,,,
12X196,12,P.S. 196,false,X077,false,815,815,0,0,0.017,0.125,0.822,0.029,0.006,0.218,0.324,0.871,420,98,23.3%,433,124,28.6%,,,,
12X211,12,P.S. 211,false,X193,false,512,318,194,0,0.002,0.174,0.807,0.008,0.01,0.217,0.133,0.904,347,70,20.2%,358,73,20.4%,,,,
12X212,12,P.S. 212,false,X198,false,161,161,0,0,0.012,0.292,0.665,0.019,0.012,0.155,0.23,0.969,72,19,26.4%,75,11,14.7%,,,,
12X214,12,P.S. 214,false,X167,false,1083,627,456,0,0.026,0.245,0.703,0.017,0.01,0.195,0.153,0.957,741,189,25.5%,755,159,21.1%,,,,
12X217,12,School of Performing Arts,false,X116,false,343,0,343,0,0.015,0.353,0.589,0.026,0.017,0.353,0.166,0.948,305,42,13.8%,302,51,16.9%,,,,
12X242,12,Mott Hall V,false,X423,false,662,0,299,363,0.039,0.165,0.785,0.008,0.003,0.296,0.128,0.891,278,73,26.3%,190,49,25.8%,99,84.8%,82,96.3%
12X251,12,Explorations Academy H.S.,false,X098,false,314,0,0,314,0.016,0.264,0.697,0.013,0.01,0.261,0.229,0.882,,,,,,,100,65.0%,80,68.8%
12X267,12,Bronx Latin,false,X158,false,531,0,216,315,0.021,0.198,0.763,0.008,0.011,0.26,0.104,0.955,221,74,33.5%,144,45,31.3%,91,90.1%,71,97.2%
12X273,12,Frederick Douglass Academy V. Middle School,false,X057,false,182,0,182,0,0.011,0.275,0.692,0.011,0.011,0.313,0.159,0.923,189,42,22.2%,188,26,13.8%,,,,
12X286,12,Fannie Lou Hamer Middle School,false,X066,false,284,0,284,0,0.011,0.268,0.68,0.011,0.032,0.225,0.173,0.863,256,65,25.4%,259,42,16.2%,,,,
12X300,12,The School of Science and Applied Learning,false,X129,false,550,550,0,0,0.009,0.347,0.615,0.011,0.018,0.311,0.12,0.936,286,82,28.7%,286,78,27.3%,,,,
12X314,12,Fairmont Neighborhood School,false,X050,false,279,279,0,0,0,0.366,0.613,0.004,0.018,0.312,0.125,0.946,134,24,17.9%,139,23,16.5%,,,,
12X316,12,Kappa III,false,X129,false,363,0,363,0,0.022,0.251,0.702,0.017,0.008,0.273,0.094,0.906,360,128,35.6%,360,108,30.0%,,,,
12X318,12,"I.S. X318 Math, Science & Technology Through Arts",false,X193,false,226,0,226,0,0,0.35,0.637,0.004,0.009,0.305,0.159,0.956,218,50,22.9%,216,29,13.4%,,,,
12X341,12,Accion Academy,false,X116,false,384,0,384,0,0.01,0.221,0.74,0.016,0.013,0.263,0.263,0.969,341,69,20.2%,368,34,9.2%,,,,
12X383,12,Emolior Academy,false,X167,false,349,0,349,0,0.083,0.241,0.665,0.009,0.003,0.241,0.203,0.914,305,105,34.4%,315,68,21.6%,,,,
12X388,12,Pan American International High School at Monroe,false,X420,false,426,0,0,426,0,0.005,0.993,0.002,0,0.014,0.869,0.955,,,,,,,117,84.6%,77,80.5%
12X446,12,Arturo A. Schomburg Satellite Academy Bronx,false,X401,true,175,0,0,175,0.017,0.286,0.646,0.017,0.034,0.28,0.126,0.886,,,,,,,104,25.0%,101,45.5%
12X458,12,Samara Community School,false,X050,false,287,287,0,0,0,0.105,0.885,0.003,0.007,0.226,0.157,0.955,79,21,26.6%,82,26,31.7%,,,,
12X463,12,Urban Scholars Community School,false,X198,false,292,292,0,0,0.01,0.428,0.545,0.014,0.003,0.267,0.144,0.969,122,48,39.3%,126,45,35.7%,,,,
12X478,12,The Cinema School,false,X423,false,355,0,0,355,0.017,0.172,0.755,0.031,0.025,0.206,0.048,0.845,,,,,,,67,98.5%,69,98.6%
12X479,12,Bronx Career and College Preparatory High School,false,X158,false,275,0,0,275,0.022,0.32,0.625,0.025,0.007,0.313,0.182,0.898,,,,,,,83,59.0%,87,49.4%
12X480,12,Bronx Regional High School,false,X401,true,183,0,0,183,0.022,0.432,0.525,0,0.022,0.213,0.093,0.858,,,,,,,77,11.7%,80,35.0%
12X511,12,Bronx Envision Academy,false,X098,false,393,0,0,393,0.015,0.326,0.628,0.013,0.018,0.282,0.148,0.863,,,,,,,107,73.8%,88,69.3%
12X521,12,The Metropolitan Soundview High School,false,X420,false,422,0,0,422,0.024,0.201,0.744,0.012,0.019,0.242,0.142,0.931,,,,,,,108,72.2%,108,72.2%
12X531,12,Archer Elementary School,false,X102,false,441,441,0,0,0.12,0.218,0.61,0.032,0.02,0.297,0.247,0.959,203,59,29.1%,208,48,23.1%,,,,
12X536,12,P.S. 536,false,X102,false,390,390,0,0,0.131,0.205,0.628,0.018,0.018,0.185,0.2,0.926,186,53,28.5%,189,41,21.7%,,,,
12X550,12,High School of World Cultures,false,X420,false,421,0,0,421,0.062,0.102,0.791,0.012,0.033,0.036,0.808,0.976,,,,,,,114,57.9%,65,67.7%
12X595,12,P.S. 595,false,X092,false,191,191,0,0,0,0.236,0.733,0.005,0.026,0.215,0.194,0.921,,,,,,,,,,
12X691,12,Bronx Little School,false,X102,false,318,318,0,0,0.17,0.176,0.623,0.019,0.013,0.217,0.164,0.887,134,49,36.6%,144,55,38.2%,,,,
13K020,13,P.S. 020 Clinton Hill,false,K020,false,539,539,0,0,0.028,0.406,0.193,0.074,0.299,0.158,0.048,0.534,167,94,56.3%,170,105,61.8%,,,,
13K044,13,P.S. 044 Marcus Garvey,false,K044,false,124,124,0,0,0,0.863,0.089,0.016,0.032,0.234,0.048,0.944,39,15,38.5%,39,12,30.8%,,,,
13K046,13,P.S. 046 Edward C. Blum,false,K046,false,251,251,0,0,0.016,0.462,0.438,0.044,0.04,0.283,0.131,0.837,115,33,28.7%,113,31,27.4%,,,,
13K054,13,P.S. 054 Samuel C. Barnes,false,K054,false,202,202,0,0,0.069,0.52,0.312,0.03,0.069,0.188,0.064,0.856,77,24,31.2%,76,25,32.9%,,,,
13K056,13,P.S. 056 Lewis H. Latimer,false,K056,false,280,280,0,0,0.021,0.479,0.161,0.046,0.293,0.225,0.061,0.543,94,33,35.1%,91,24,26.4%,,,,
13K067,13,P.S. 067 Charles A. Dorsey,false,K067,false,222,222,0,0,0.032,0.595,0.329,0.018,0.027,0.32,0.095,0.986,87,27,31.0%,88,16,18.2%,,,,
13K093,13,P.S. 093 William H. Prescott,false,K093,false,185,185,0,0,0.238,0.632,0.092,0.022,0.016,0.27,0.114,0.962,90,34,37.8%,87,25,28.7%,,,,
13K113,13,M.S. 113 Ronald Edmonds Learning Center,false,K113,false,333,0,333,0,0.06,0.655,0.243,0.021,0.021,0.3,0.036,0.898,315,77,24.4%,312,63,20.2%,,,,
13K133,13,P.S. 133 William A. Butler,false,K317,false,726,726,0,0,0.039,0.253,0.337,0.08,0.291,0.161,0.059,0.35,281,189,67.3%,282,176,62.4%,,,,
13K256,13,P.S. 256 Benjamin Banneker,false,K256,false,214,214,0,0,0.005,0.607,0.341,0.014,0.033,0.173,0.136,0.949,97,38,39.2%,100,30,30.0%,,,,
13K265,13,Dr. Susan S. McKinney Secondary School of the Arts,false,K265,false,301,0,91,210,0.017,0.711,0.233,0.027,0.013,0.299,0.03,0.85,78,18,23.1%,70,8,11.4%,55,69.1%,66,77.3%
13K266,13,M.S. K266 - Park Place Community Middle School,false,K902,false,166,0,166,0,0,0.657,0.301,0,0.042,0.307,0.036,0.747,113,38,33.6%,116,32,27.6%,,,,
13K270,13,P.S. 270 Johann DeKalb,false,K270,false,94,94,0,0,0.074,0.585,0.319,0.011,0.011,0.277,0.106,0.947,41,12,29.3%,40,5,12.5%,,,,
13K287,13,P.S. 287 Bailey K. Ashford,false,K287,false,117,117,0,0,0.051,0.65,0.248,0.026,0.026,0.214,0.068,0.932,63,6,9.5%,62,4,6.5%,,,,
13K301,13,Satellite East Middle School,false,K093,false,88,0,88,0,0.08,0.739,0.148,0.023,0.011,0.307,0.148,0.955,81,17,21.0%,83,13,15.7%,,,,
13K313,13,Dock Street School for STEAM Studies,false,K611,false,284,0,284,0,0.053,0.644,0.173,0.028,0.102,0.187,0.004,0.644,241,162,67.2%,242,120,49.6%,,,,
13K350,13,Urban Assembly School of Music and Art,false,K805,false,193,0,0,193,0.01,0.715,0.254,0.005,0.016,0.249,0.036,0.829,,,,,,,50,86.0%,48,81.3%
13K351,13,The Urban Assembly Unison School,false,K056,false,172,0,172,0,0.035,0.762,0.18,0.012,0.012,0.343,0.087,0.884,137,34,24.8%,133,23,17.3%,,,,
13K412,13,Brooklyn Community Arts & Media High School (BCAM),false,K117,false,451,0,0,451,0.02,0.674,0.273,0.011,0.022,0.266,0.035,0.9,,,,,,,87,82.8%,87,82.8%
13K419,13,"Science Skills Center High School for Science, Technology and the Creative Arts",false,K805,false,591,0,0,591,0.08,0.668,0.178,0.042,0.032,0.117,0.03,0.807,,,,,,,110,95.5%,113,89.4%
13K439,13,Brooklyn International High School,false,K805,false,338,0,0,338,0.246,0.201,0.453,0,0.101,0.027,0.817,0.825,,,,,,,105,73.3%,94,86.2%
13K483,13,The Urban Assembly School for Law and Justice,false,K313,false,445,0,0,445,0.025,0.649,0.272,0.027,0.027,0.162,0.022,0.755,,,,,,,96,95.8%,107,94.4%
13K492,13,Academy of Arts and Letters,false,K020,false,523,326,197,0,0.054,0.293,0.147,0.09,0.417,0.205,0.006,0.22,220,169,76.8%,211,159,75.4%,,,,
13K499,13,ACORN Community High School,false,K909,false,103,0,0,103,0.029,0.757,0.155,0.029,0.029,0.34,0.029,0.854,,,,,,,44,72.7%,69,85.5%
13K527,13,Urban Assembly Institute of Math and Science for Young Women,false,K313,false,475,0,185,290,0.101,0.589,0.171,0.029,0.109,0.173,0.067,0.857,172,83,48.3%,142,42,29.6%,70,90.0%,67,89.6%
13K553,13,Brooklyn Academy High School,false,K458,true,146,0,0,146,0,0.829,0.158,0,0.014,0.315,0.014,0.863,,,,,,,89,16.9%,92,41.3%
13K594,13,Gotham Professional Arts Academy,false,K909,false,152,0,0,152,0.013,0.789,0.191,0,0.007,0.316,0.02,0.803,,,,,,,s,s,39,71.8%
13K605,13,George Westinghouse Career and Technical Education High School,false,K580,false,753,0,1,752,0.04,0.676,0.248,0.02,0.016,0.195,0.037,0.788,,,,,,,144,92.4%,109,82.6%
